'15','05-12-2011 11:53:43','nl',,'05-12-2011 11:53:43','05-12-2011 10:07:40','92.67.145.138','-','7','17','6',,,,,,,,'5','7.3',,,,,,,,,,,,,,,,,,,,,,,,'7','2','9',,,'4',,,,,,,,,,,,'4.8','7.7',,,,,,,,,,,,'9.2','7.5','2.5',,,,,,,,'2.6',,,,,,,,,'6.8','4.3',,,,,,,'8','7.6','8.3',,,,,,,,,,,,,,,,,,,'1.4',,,,,,,,,,,,,'6.9','3.6',,,,,,,,,,,,,'2','5.1','9',,,,'12',,
'14','02-12-2011 10:10:34','nl',,'02-12-2011 10:10:34','02-12-2011 10:04:13','92.67.145.138','-','6','21',,,,,,'4','6','5.1',,,,,,,,,,,,,,,,,,,,,,,'5','3.6','8.5',,,,,'4.7',,,,,,,,,,,'4.8','2.9',,,,,,,,,,,'3.5','3.4','8.4',,,,,,,,,,'3.1',,,,,,,,'2.1','4.2',,,,,,,,,,,,,,,,,,,,,,,,'5','3.6','8.6',,,'3.3',,,,,,,,,,,,'4.3','3.6',,,,,,,,,,,,'3.9','9.2','4.6',,,,,,,'7',,
'13','02-12-2011 13:06:14','nl',,'02-12-2011 13:06:14','01-12-2011 11:09:22','85.90.69.35','-','5','15',,,,,'8.1',,,,,,,,,,,,'2.9','8.4',,,,,,,,,,'7.7','6.9','2.8',,,,,,,'4.2',,,,,,,,,,'5.1','6.9',,,,,,,,,,'4.5','7.5','7.4',,,,,,,,,,,,,'5.7',,,,,,,,'4.3','7.5',,,,,,,,,,,,,,,,,,,,,,,,'7','4.1','7',,,'3.9',,,,,,,,,,,,'5.1','4.3',,,,,,,,,,,,'4.5','8.1','5.4',,,,,,,'6',,
'12','01-12-2011 09:37:03','nl',,'01-12-2011 09:37:03','01-12-2011 09:23:54','92.67.145.138','-','4','18',,,,'2',,,,,,,,,,,'1.5','8.5',,,,,,,,,'1.7','8','7',,,,,,,,,,,,,,,'4',,,'5.5','8.2',,,,,,,,,'7','2.3','9',,,,,,,,,,,,,,,,'4.3',,,,,,,,'1.3','7.5',,,,,,,,,,,,,,,,,,,,,,,,'8','2.2','8',,,'1.3',,,,,,,,,,,,'2.1','2.2',,,,,,,,,,,,'1.7','7.6','1.7',,,,,,,'5',,
'11','30-11-2011 10:00:25','nl',,'30-11-2011 10:00:25','30-11-2011 09:52:50','92.67.145.138','-','3','16',,,'1',,,,,,,,,,'8.4','1',,,,,,,,'1','6.6','9.1',,,,,,,,,,,,,,,,,'8',,'6','3.5',,,,,,,,,,,,,,,,,,,,,,,,,,'4.7','2','8.6','6.6',,,,,,,,'1.3','6',,,,,,,,,,,,,,,,,,,,,,,,'6.2','1','9.3',,,'1.4',,,,,,,,,,,,'1.5','1.5',,,,,,,,,,,,'1.3','9.3','1.6',,,,,,,'2',,
'10','18-11-2011 15:46:35','nl',,'18-11-2011 15:46:35','18-11-2011 15:29:28','85.90.69.35','-','2','11',,'4',,,,,,,,,'3','3.1',,,,,,,'3.3','3.5','6.6',,,,,,,,,,,,,,,,,,,'3.7',,,,,,,,,,,,,'3.2','8.1',,,,,,,,,,,,,'3.7','4.1','5.4',,,,'5.6',,,,,,,,'2.8','4.4',,,,,,,,,,,,,,,,,,,,,,,,'4.2','3','5.9',,,'2.3',,,,,,,,,,,,'3.3','4.6',,,,,,,,,,,,'3.8','5.1','5.2',,,,,,,'6',,
'9','03-11-2011 14:24:35','nl',,'03-11-2011 14:24:35','03-11-2011 14:22:44','137.120.245.26','-','1','2','1',,,,,,,,'1','1',,,,,,,,,,,,,,,,,,,,,,,,'1','1','1',,,'1',,,,,,,,,,,,'1','1',,,,,,,,,,,,'1','1','1',,,,,,,'1',,,,,,,,'1','1',,,,,,,,,,,,,,,,,,,,,,,,'1','1','1',,,'1',,,,,,,,,,,,'1','1',,,,,,,,,,,,'1','1','1',,,,,,,'6',,
'16','05-12-2011 13:28:32','nl',,'05-12-2011 13:28:32','05-12-2011 13:12:25','92.67.145.138','-','7','19','1',,,,,,,,'1','5',,,,,,,,,,,,,,,,,,,,,,,,'3','1','8',,,'1.3',,,,,,,,,,,,'2.1','7',,,,,,,,,,,,'6.5','3.2','1.1',,,,,,,,'1.4',,,,,,,,,'4.1','1',,,,,,,'5','2','8.1',,,,,,,,,,,,,,,,,,,'4',,,,,,,,,,,,,'5.9','1.2',,,,,,,,,,,,,'3.1','5','7',,,,'12',,
'17','07-12-2011 16:29:46','nl',,'07-12-2011 16:29:46','07-12-2011 16:02:42','85.90.69.35','-','9','20',,,'3.5',,,,,,,,,,'8','3',,,,,,,,'3','7','7.5',,,,,,,,,,,,,,,,,'7.3',,'6.5','6',,,,,,,,,,,,,,,,,,,,,,,,,,'7','4.5','8',,'5',,,,,,,,,'5','4.3',,,,,,,'7','7.2','7.2',,,,,,,,,,,,,,,,,,,'5',,,,,,,,,,,,,'7.4','6.1',,,,,,,,,,,,,'5','3.5','7.5',,,,'3',,
'18','08-12-2011 17:41:28','nl',,'08-12-2011 17:41:28','08-12-2011 17:25:50','212.104.214.35','-','10','23',,,,'5',,,,,,,,,,,'4','8.5',,,,,,,,,'4.5','6.5','7.6',,,,,,,,,,,,,,,'5.8',,,'5','7',,,,,,,,,'5','6','7.5',,,,,,,,,,,,,,,,,'4.5',,,,,,,,,'5','6',,,,,,,'7','5.5','6.5',,,,,,,,,,,,,,,,,,,'6.5',,,,,,,,,,,,,'7','5',,,,,,,,,,,,,'5','6','7.5',,,,'6',,
